"Material Name","Material Type","Base Color (F0)","Metalness","Specular Color","Specular Color (F82)","Density (kg/m3)","Relative Luminance","Description","References","Tags","MaterialX Download URL","Physics","Misc"
"Ketchup","Non-Metal","0.164,0.006,0.002","0","","","1055","0.039","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nKumbár, V., Ondrušíková, S., Nedomová, Š., (2019), ""Rheological Properties of Tomato Ketchup"", Potravinarstvo Slovak Journal of Food Sciences, 13,(1), 730---734\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)","liquid, sss","blob:https://physicallybased.info/a694da92-0327-434a-991a-fdb640364320","Density: 1055-1165 kg/m3\nViscosity: 10000-20000 mPa⋅s","Relative Luminance: 0.039"
"Lead","Metal","0.626,0.640,0.693","1","0.717,0.717,0.696","0.758,0.773,0.799","11340","0.641","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/d62b0354-59f6-4cc2-9650-0abc2984043a","Density: 11340 kg/m3","Relative Luminance: 0.641"
"Lemon","Non-Metal","0.617,0.366,0.045","0","","","","0.396","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)\nPalmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-12-15)","","blob:https://physicallybased.info/05b797ec-4a40-4178-af77-8d1df093c3f1","","Relative Luminance: 0.396"
"Lithium","Metal","0.916,0.890,0.807","1","0.998,0.995,0.975","0.985,0.998,1.027","535","0.890","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Lithium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/9b8cca26-8d78-401e-b525-0e3960b0bd82","Density: 535 kg/m3","Relative Luminance: 0.890"
"Magnesium","Metal","0.956,0.953,0.950","1","0.998,0.996,0.983","0.954,0.964,0.977","1737","0.953","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Magnesium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/438f5abd-e709-4797-8991-ff1e1f20b6bc","Density: 1737 kg/m3","Relative Luminance: 0.953"
"Manganese","Metal","0.606,0.592,0.573","1","0.757,0.761,0.715","0.796,0.834,0.889","7476","0.594","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Manganese"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)","","blob:https://physicallybased.info/5e00c9b7-5791-4aac-890c-accc97900bd4","Density: 7476 kg/m3","Relative Luminance: 0.594"
"Marble","Non-Metal","0.830,0.791,0.753","0","","","2700","0.797","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nWikipedia contributors, ""Marble"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\n""Minerals - Densities "", The Engineering ToolBox, (Accessed: 2025-01-26)\nWahab, G. M. A., Gouda, M. & Ibrahim, G., (2019), ""Study of physical and mechanical properties for some of Eastern Desert dimension marble and granite utilized in building decoration"", Ain Shams Engineering Journal, 10,(4), 907---915","sss","blob:https://physicallybased.info/8c934817-43dd-40fa-bded-c0fc1b1026f2","Density: 2700 kg/m3","Relative Luminance: 0.797"
"Mercury","Metal","0.781,0.780,0.778","1","0.901,0.910,0.890","0.813,0.852,0.902","13546","0.780","Mercury is the only metallic element that is known to be liquid at standard conditions.","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Surface tension"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-08-30)\n""Liquids - Dynamic Viscosities"", The Engineering ToolBox, (Accessed: 2025-01-26)","liquid","blob:https://physicallybased.info/d6150aaf-b6ad-47ff-9d84-2da994f67c83","Density: 13546 kg/m3\nViscosity: 1.552 mPa⋅s\nSurface Tension: 487 mN/m","Relative Luminance: 0.780"
"Milk","Non-Metal","0.815,0.813,0.682","0","","","1026","0.804","Cow's milk","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nMilovanovic, B., Djekic, I., Miocinovic, J., Djordjevic, V., Lorenzo, J. M., Barba, F. J., Mörlein, D. & Tomasevic, I., (2020), ""What Is the Color of Milk and Dairy Products and How Is It Measured?"", Foods, 9,(11), 1629\nJääskeläinen, A.J., Peiponen, K.-E. & Räty, J. A., (2001), ""On Reflectometric Measurement of a Refractive Index of Milk"", Journal of Dairy Science, 84,(1), 42\nGoff, D. H., Hill, A. & Ferrer, M. A., ""Dairy Science and Technology eBook"", University of Guelph, (Accessed: 2025-02-02)\nJones, A. N., Elert, G. (Ed.), ""Density of Milk"", The Physics Factbook, (Accessed: 2025-02-02)\nRealFlow 10 Documentation, ""Hybrido Viscosity Table"", Next Limit Technologies, (Accessed: 2025-01-26)\nWikipedia contributors, ""List of Viscosities"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWhitnah, C.H., (1959), ""The Surface Tension of Milk. A Review1, 2"", Journal of Dairy Science, 42,(9), 1437---1449","sss","blob:https://physicallybased.info/753a7ca5-d1d6-435c-a733-2499a1bd4b0a","Density: 1026-1035 kg/m3\nViscosity: 2 mPa⋅s\nSurface Tension: 48 mN/m","Relative Luminance: 0.804"
"MIT Black","Non-Metal","0.000,0.000,0.000","0","","","","0.000","","""MIT engineers develop ""blackest black"" material to date"", MIT News Office, (Accessed: 2025-02-02)","","blob:https://physicallybased.info/9b7c8f06-b461-41d8-94fd-279af7d4f4e6","","Relative Luminance: 0.000"
"Molybdenum","Metal","0.589,0.612,0.594","1","0.495,0.505,0.383","0.683,0.696,0.726","10223","0.606","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-29)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Molybdenum"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-29)","","blob:https://physicallybased.info/7b90c460-c933-4a9c-acea-ad5fc9ad9841","Density: 10223 kg/m3","Relative Luminance: 0.606"
"Musou Black","Non-Metal","0.006,0.006,0.006","0","","","","0.006","Musou Black is one of the darkest paints available. Darker materials can be achieved by using carbon nanotube technology, such as the ""MIT Black"" material.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-26)\n""Product Specifications"", Musou Black, (Accessed: 2025-02-03)","","blob:https://physicallybased.info/4bdedd81-edbf-4f16-9b07-012b0f02e0aa","","Relative Luminance: 0.006"
"Nickel","Metal","0.697,0.641,0.563","1","0.855,0.805,0.675","0.815,0.834,0.871","8900","0.647","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/16452ad4-3685-4d2a-b6b9-c6db5a9dc3e9","Density: 8900 kg/m3","Relative Luminance: 0.647"
"Office Paper","Non-Metal","0.794,0.834,0.884","0","","","800","0.829","Office paper contains optical brightening additives that absorb light in the ultraviolet and violet region (usually 340-370 nm), and re-emit light in the blue region (typically 420-470 nm) by fluorescence.","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-01-26)\nWikipedia contributors, ""Paper"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)\nWikipedia contributors, ""Optical Brightener"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/e8956c34-9cdd-49d4-a8f1-1b1f06679803","Density: 800 kg/m3","Relative Luminance: 0.829"
"Orange","Non-Metal","0.615,0.205,0.010","0","","","","0.278","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-07)","","blob:https://physicallybased.info/721ce6b7-8de5-4755-af90-4131a988c0a1","","Relative Luminance: 0.278"
"Palladium","Metal","0.734,0.704,0.662","1","0.874,0.854,0.779","0.811,0.836,0.872","12007","0.707","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-30)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Palladium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-06-30)","","blob:https://physicallybased.info/a87e3c50-db5f-424b-8227-6adce7c971a0","Density: 12007 kg/m3","Relative Luminance: 0.707"
"Pearl","Non-Metal","0.800,0.750,0.700","0","","","2700","0.757","The akoya pearl is a saltwater cultured pearl from the akoya oyster. Akoya are considered to be the classic pearl used for necklaces and other pearl jewelry. Nacre is the material of which pearls are composed and consists of aragonite crystal layers separated by conchiolin, a protein secreted by mollusk shells. The thickness of these layers determines the color of reflection from the nacre. The transmission interference color is complementary to the reflection interference color.","Ozaki, R., Kikumoto, K., Takagaki, M., Kadowaki, K., & Odawara, K., (2021), ""Structural colors of pearls"", Scientific Reports, 11,(1)\nGuillén, I., Marco, J., Gutierrez, D., Jakob, W., & Jarabo, A., (2020), ""A general framework for pearlescent materials"", ACM Transactions on Graphics (TOG), 39,(6), 1---15\nArem, J. E., Clark, D., & Smigel, B., ""Pearl Value, Price, and Jewelry Information"", International Gem Society, (Accessed: 2025-02-04)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-01-26)\nWikipedia contributors, ""Nacre"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-04)","nacre, sss","blob:https://physicallybased.info/f10d95d2-a04e-4234-8a37-f3211adc36ac","Density: 2700 kg/m3","Relative Luminance: 0.757"
"Petroleum","Non-Metal","0.030,0.027,0.024","0","","","870","0.027","The viscosity of crude oil is sensitive to temperature.","Wikipedia contributors, ""Petroleum"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-04)\nWikipedia contributors, ""API Gravity"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-04)\nLam-Maldonado, M., Aranda-Jiménez, Y. G., Arvizu-Sanchez, E., Melo-Banda, J. A., Díaz-Zavala, N. P., Pérez-Sánchez, J. F., & Suarez-Dominguez, E. J., (2023), ""Extra Heavy Crude Oil Viscosity and Surface Tension Behavior Using a Flow Enhancer and Water at Different Temperatures Conditions"", Heliyon, 9,(2)\nQingzhi, L., Yinmo, X., Min, W., Chengan, W., Kewei, S., & Jianyu, T., (2020), ""The complex refractive index of crude oils determined by the combined Brewster-transmission method"", Infrared Physics & Technology, 111, 103515\nChen, W., Huaguo, Z., Qing, X., Wenting, C., Juan, W., Dongling, L., & Xiulin, L., (2022), ""Inversion of the refractive index of marine spilled oil using multi-angle sun glitter images acquired by the ASTER sensor"", Remote Sensing of Environment, 275, 113019\n""Viscosity of Crude Oil"", Anton Paar GmbH, (Accessed: 2025-01-26)\nBusahmin, B., & Maini, B.B., (2019), ""Measurements of Surface Tension for Mineral and Crude Oil Systems"", Defect and Diffusion Forum, 391, 106---113","oil, crude oil, sss","blob:https://physicallybased.info/f5a65792-3d8e-4b34-973e-42c003dd1aa0","Density: 870-1000 kg/m3\nViscosity: 100-1000 mPa⋅s\nSurface Tension: 21 mN/m","Relative Luminance: 0.027"
"Plastic (Acrylic)","Non-Metal","","0","","","1180","","","Wikipedia contributors, ""Poly(methyl Methacrylate)"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)","PMMA, plexi, polymethyl methacrylate","blob:https://physicallybased.info/b9200a85-2596-4ece-9ac0-a268f5bde64f","Density: 1180 kg/m3",""
"Plastic (PC)","Non-Metal","","0","","","1200","","","Wikipedia contributors, ""Polycarbonate"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)","polycarbonate","blob:https://physicallybased.info/875f2365-7134-4ba2-a30f-f6c63add9fef","Density: 1200 kg/m3",""
"Plastic (PET)","Non-Metal","","0","","","1380","","","Wikipedia contributors, ""Polyethylene Terephthalate"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)","polyethylene terephthalate","blob:https://physicallybased.info/c59df31b-2efa-4675-b33d-0d991ea535f1","Density: 1380 kg/m3",""
"Plastic (PP)","Non-Metal","","0","","","855","","","Wikipedia contributors, ""Polypropylene"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)\nFlores-Mijangos, J., & Beltrán-López, V., (2003), ""Far-Infrared Laser Measurement of the Refractive Index of Polypropylene"", Applied Optics, 42,(3), 592---596","polypropylene","blob:https://physicallybased.info/c88d4ec2-03e7-4b64-bc9e-ed060e57e30d","Density: 855-946 kg/m3",""
"Plastic (PUR)","Non-Metal","","0","","","","","Modern car paints are nearly always an acrylic polyurethane ""enamel"" with a pigmented basecoat and a clear topcoat. It may be described as ""acrylic"", ""acrylic enamel"", ""urethane"", etc. and the clearcoat in particular may be described as a lacquer.","Wikipedia contributors, ""Automotive Paint"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Lacquer"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWittmann, B., Montmitonnet, P., Burr, A., Gauthier, C., Agassant, J-F, & Casoli, A., (2021), ""Brdf and Gloss Computation of Polyurethane Coatings from Roughness Measurements: Modelling and Experimental Validation"", Progress in Organic Coatings, 156,(106247)\nIwazumi, M., Schneider, A., (2011), ""High Refractive Index Aqueous Polyurethane Dispersion Coating Compositions"", SDC TECHNOLOGIES, INC.","acrylic, coat, car paint, lacquer, polyurethane","blob:https://physicallybased.info/c1759dc6-9985-4e44-bbbf-c560431354dc","",""
"Plastic (PVC)","Non-Metal","","0","","","1100","","","Wikipedia contributors, ""Polyvinyl Chloride"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-01-09)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)","polyvinyl chloride","blob:https://physicallybased.info/1904025b-c89c-41f1-b3be-d4a834f7c267","Density: 1100-1450 kg/m3",""
"Platinum","Metal","0.765,0.730,0.676","1","0.873,0.850,0.747","0.793,0.815,0.840","21450","0.734","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)","","blob:https://physicallybased.info/04e198c9-7438-45b0-8314-6b39a35529a8","Density: 21450 kg/m3","Relative Luminance: 0.734"
"Polystyrene (Foam)","Non-Metal","0.839,0.838,0.841","0","","","50","0.839","","Jakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-02)\nPalmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2026-03-07)\nWikipedia contributors, ""Polystyrene"", Wikipedia, The Free Encyclopedia, (Accessed: 2026-02-02)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2026-02-02)\nAksit, M., Zhao, C., Klose, B., Kreger, K., Schmidt, H.-W., & Altstädt, V., (2019), ""Extruded Polystyrene Foams with Enhanced Insulation and Mechanical Properties by a Benzene-Trisamide-Based Additive"", Polymers, 11,(2), 268","styrofoam","blob:https://physicallybased.info/6a42a912-12d8-488f-afba-1fbd2f421b25","Density: 50-80 kg/m3","Relative Luminance: 0.839"
"Porcelain","Non-Metal","0.745,0.745,0.723","0","","","2000","0.743","","Palmqvist, A., ""Spectrophotometer Measurement"", Physically Based Database, (Accessed: 2025-12-15)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-02)\nWikipedia contributors, ""Vitreous China"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-12-15)\nWikipedia contributors, ""Porcelain"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-12-15)\nWikipedia contributors, ""Ceramic"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-12-15)\n""Ceramic Materials - Properties"", The Engineering ToolBox, (Accessed: 2025-12-15)","vitreous china, ceramic","blob:https://physicallybased.info/d6480e70-b6e7-42c1-8182-79340bd5694a","Density: 2000-2500 kg/m3","Relative Luminance: 0.743"
"Potassium","Metal","0.983,0.956,0.906","1","1.000,1.000,0.994","1.002,1.011,1.032","859","0.958","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-07-03)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Potassium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-07-03)","","blob:https://physicallybased.info/fab7a3dd-0614-49b5-9a6a-0c01fa5c12d3","Density: 859 kg/m3","Relative Luminance: 0.958"
"Quartz","Non-Metal","","0","","","2600","","","Wikipedia contributors, ""Quartz"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-02-05)\nPolyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-26)","","blob:https://physicallybased.info/7f4a409a-e983-4b7f-ac9b-717835bf2010","Density: 2600 kg/m3",""
"Rubidium","Metal","0.919,0.859,0.747","1","1.000,0.999,0.998","1.016,1.042,1.105","1534","0.864","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-07-03)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Rubidium"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-07-03)","","blob:https://physicallybased.info/ffd54f61-8cca-4965-97c1-b64079e736e0","Density: 1534 kg/m3","Relative Luminance: 0.864"
"Salt","Non-Metal","","0","","","2170","","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)\nWikipedia contributors, ""Sodium Chloride"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)","","blob:https://physicallybased.info/9d230e0e-2a79-4eba-8726-8fac4f2cc755","Density: 2170 kg/m3",""
"Sand","Non-Metal","0.440,0.386,0.231","0","","","1440","0.386","","Lagarde, S., ""Feeding a Physically Based Shading Model"", (Accessed: 2025-01-26)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2026-02-02)\nWikipedia contributors, ""Sand"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nCivil Lead, ""Density of Cement, Sand and Aggregate, Bulk Density of Aggregate"", (Accessed: 2025-02-05)","","blob:https://physicallybased.info/b76305e8-8b01-47fd-bda4-916fed754608","Density: 1440-1680 kg/m3","Relative Luminance: 0.386"
"Sapphire","Non-Metal","","0","","","3980","","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-02-05)\nWikipedia contributors, ""Sapphire"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\n""Table of Refractive Indices and Double Refraction of Selected Gems"", International Gem Society, (Accessed: 2025-02-04)\n""Sapphire Properties"", The Roditi International Corporation, (Accessed: 2025-02-04)","gem, gemstone","blob:https://physicallybased.info/99b81730-3076-443f-b016-c5fd5b3f5560","Density: 3980 kg/m3",""
"Silicon","Metal","0.345,0.369,0.426","1","0.081,0.000,0.004","0.720,0.701,0.663","2330","0.368","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Silicon"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)","","blob:https://physicallybased.info/b72a3d0b-8001-4ef8-9621-84431cbe77b5","Density: 2330 kg/m3","Relative Luminance: 0.368"
"Silver","Metal","0.991,0.985,0.974","1","1.000,1.000,0.991","0.994,0.995,0.998","10500","0.985","","Polyanskiy, M. N., ""Refractive index database"", (Accessed: 2025-06-26)\nPortsmouth, J., Kutz, P., & Hill, S., (2025), ""OpenPBR: Novel Features and Implementation Details"", (Accessed: 2025-12-30)\nWikipedia contributors, ""Density"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)\nWikipedia contributors, ""Mirror"", Wikipedia, The Free Encyclopedia, (Accessed: 2025-01-25)","mirror","blob:https://physicallybased.info/ea30789f-e770-4bf0-9e38-15127d6f10ba","Density: 10500 kg/m3","Relative Luminance: 0.985"
"Skin I","Non-Metal","0.847,0.638,0.552","0","","","1020","0.676","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)","epidermis, sss","blob:https://physicallybased.info/ff3cc0c7-9a06-4138-9a27-1badd5c64f65","Density: 1020 kg/m3","Relative Luminance: 0.676"
"Skin II","Non-Metal","0.799,0.485,0.347","0","","","1020","0.542","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)","epidermis, sss","blob:https://physicallybased.info/cb36b0d8-21bd-4c48-abe4-c4d6c4884e7e","Density: 1020 kg/m3","Relative Luminance: 0.542"
"Skin III","Non-Metal","0.623,0.433,0.343","0","","","1020","0.467","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)","epidermis, sss","blob:https://physicallybased.info/910b9865-5a21-4726-910a-85197a94988b","Density: 1020 kg/m3","Relative Luminance: 0.467"
"Skin IV","Non-Metal","0.436,0.227,0.131","0","","","1020","0.265","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)","epidermis, sss","blob:https://physicallybased.info/916c30d6-848d-4928-877a-2370e32ce791","Density: 1020 kg/m3","Relative Luminance: 0.265"
"Skin V","Non-Metal","0.283,0.148,0.079","0","","","1020","0.172","","Jensen, H. W., Marschner, S. R., Levoy, M. & Hanrahan, P., (2001), ""A Practical Model for Subsurface Light Transport"", Proceedings of the 28th Annual Conference on Computer Graphics and Interactive Techniques, 515\nDonner, C., & Jensen, H. W., (2006), ""A Spectral BSSRDF for Shading Human Skin"", EGSR '06: Proceedings of the 17th Eurographics conference on Rendering Techniques, 409---417\nLister, T., Wright, P. A., & Chappell, P. H., (2012), ""Optical Properties of Human Skin"", Journal of Biomedical Optics, 17,(9), 090901\nLiang, X., & Boppart, S. A., (2010), ""Biomechanical Properties of In Vivo Human Skin From Dynamic Optical Coherence Elastography"", IEEE Transactions on Biomedical Engineering, 57,(4), 953---959\nJimenez, J., ""Next Generation Character Rendering"", (Accessed: 2025-01-26)\nJakubiec, J. A., ""Spectral Materials Database"", (Accessed: 2025-01-25)","epidermis, sss","blob:https://physicallybased.info/185a14fc-8772-4efe-836a-72d0a7a48218","Density: 1020 kg/m3","Relative Luminance: 0.172"
